epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,9.480162628017986537e-02,6.814543535960979059e-02,5.296148746816356834e+01,7.600202162755113067e-01,1.000000000000000048e-04,5.904748201370239258e+00
2.000000000000000000e+00,6.698542723062717030e-02,6.242365783183419226e-02,5.428291187573916687e+01,7.797662144364605474e-01,1.000000000000000048e-04,6.497337818145751953e+00
3.000000000000000000e+00,6.397375047880723975e-02,6.065733906761485578e-02,5.466522027978945175e+01,7.876960272700997967e-01,1.000000000000000048e-04,6.579530477523803711e+00
4.000000000000000000e+00,6.202530288132709901e-02,5.902137611080054969e-02,5.519264717677130960e+01,7.924388163050820610e-01,1.000000000000000048e-04,6.198046922683715820e+00
5.000000000000000000e+00,6.003366948276727538e-02,5.725336774959036840e-02,5.600654130485189341e+01,7.998175931937503425e-01,1.000000000000000048e-04,6.319949150085449219e+00
6.000000000000000000e+00,5.875132942738783143e-02,5.821275209362183206e-02,5.613852292928264376e+01,7.955148757281700345e-01,1.000000000000000048e-04,6.130689859390258789e+00
7.000000000000000000e+00,5.805089941127694608e-02,5.840123319371261917e-02,5.532977741567333396e+01,7.996610359444997762e-01,1.000000000000000048e-04,5.954615831375122070e+00
8.000000000000000000e+00,5.754540620212809932e-02,5.615570830490122095e-02,5.626210609512712324e+01,8.059903176720211171e-01,1.000000000000000048e-04,5.709834337234497070e+00
9.000000000000000000e+00,5.663736659233273296e-02,5.599992733504904202e-02,5.664584777103596736e+01,8.048549602885204379e-01,1.000000000000000048e-04,6.054690122604370117e+00
1.000000000000000000e+01,5.881037165670208872e-02,5.806985063169469580e-02,5.508378408422422012e+01,8.012907648788687442e-01,1.000000000000000048e-04,6.259053707122802734e+00
1.100000000000000000e+01,5.665550759982964507e-02,5.449133398170447062e-02,5.703282717604133722e+01,8.113305386413905973e-01,1.000000000000000048e-04,6.272269487380981445e+00
1.200000000000000000e+01,5.621964302974516436e-02,5.555016891890434544e-02,5.629893970010268589e+01,8.092355453563194745e-01,1.000000000000000048e-04,6.033859968185424805e+00
1.300000000000000000e+01,5.558064209348986123e-02,5.397281346458885493e-02,5.701536812135322663e+01,8.138663799230264617e-01,1.000000000000000048e-04,6.672687292098999023e+00
1.400000000000000000e+01,5.581563705040518825e-02,5.412224172871915595e-02,5.713519497013571424e+01,8.131664148377398815e-01,1.000000000000000048e-04,6.790403366088867188e+00
1.500000000000000000e+01,5.468725747709284046e-02,5.282025155260335059e-02,5.741770778828529842e+01,8.176320030306472031e-01,1.000000000000000048e-04,6.102602958679199219e+00
1.600000000000000000e+01,5.490579962240338396e-02,5.318165675329802888e-02,5.732547711127966750e+01,8.166419386490507692e-01,1.000000000000000048e-04,6.858098983764648438e+00
1.700000000000000000e+01,5.406431025248269878e-02,5.352664993486212774e-02,5.714929120624484682e+01,8.144676941719318775e-01,1.000000000000000048e-04,7.005123853683471680e+00
1.800000000000000000e+01,5.427717883809864835e-02,5.270938238306860368e-02,5.748114707601729378e+01,8.181294685869004990e-01,1.000000000000000048e-04,7.126200675964355469e+00
1.900000000000000000e+01,5.312822282865628520e-02,5.187539076760186441e-02,5.765650587225679402e+01,8.214252678069089431e-01,1.000000000000000048e-04,6.236552238464355469e+00
2.000000000000000000e+01,5.596483390843390304e-02,5.443003696937057795e-02,5.693106058973762629e+01,8.134711488502770482e-01,1.000000000000000048e-04,6.164379119873046875e+00
2.100000000000000000e+01,5.429116831776539809e-02,5.399385017890426935e-02,5.692261015350494802e+01,8.140117170806489000e-01,1.000000000000000048e-04,6.304084777832031250e+00
2.200000000000000000e+01,5.413972522837529749e-02,5.416851618032359622e-02,5.700342518600387365e+01,8.145133560904174175e-01,1.000000000000000048e-04,6.157339811325073242e+00
2.300000000000000000e+01,5.362858467822452513e-02,5.206362225452260128e-02,5.766147605857657510e+01,8.203211897920026363e-01,1.000000000000000048e-04,6.887144088745117188e+00
2.400000000000000000e+01,5.331423998124062980e-02,5.119672024519598963e-02,5.792493018912310276e+01,8.238266621197432027e-01,1.000000000000000048e-04,6.024496555328369141e+00
2.500000000000000000e+01,5.254149044895466136e-02,5.231625785180672034e-02,5.738063626313329024e+01,8.201754398601455165e-01,1.000000000000000048e-04,5.784131765365600586e+00
2.600000000000000000e+01,5.302401960569932265e-02,5.179519028444985046e-02,5.766133539401106844e+01,8.227461674261929980e-01,1.000000000000000048e-04,5.946911573410034180e+00
2.700000000000000000e+01,5.238685707149132870e-02,5.131680619477027583e-02,5.797272523084477314e+01,8.234030708853886660e-01,1.000000000000000048e-04,6.873764514923095703e+00
2.800000000000000000e+01,5.123943292592314513e-02,5.195134997966900647e-02,5.716968832543147983e+01,8.230090243278904705e-01,1.000000000000000048e-04,7.091758728027343750e+00
2.900000000000000000e+01,5.146711179555871207e-02,5.132838683062462132e-02,5.786948644935186081e+01,8.234987590640210353e-01,1.000000000000000048e-04,7.247125387191772461e+00
3.000000000000000000e+01,5.115781389061985901e-02,5.060186723818132365e-02,5.792977173963383564e+01,8.257160492353777803e-01,1.000000000000000048e-04,6.521615982055664062e+00
3.100000000000000000e+01,5.230332358155441452e-02,5.094560864732493310e-02,5.789553442911886094e+01,8.251532044618232753e-01,1.000000000000000048e-04,6.290858030319213867e+00
3.200000000000000000e+01,5.089558206138728585e-02,5.107070144322050503e-02,5.802370482593325818e+01,8.247583483287658224e-01,1.000000000000000048e-04,7.083156585693359375e+00
3.300000000000000000e+01,5.052299609164662142e-02,4.996110068343991711e-02,5.830631344282447515e+01,8.275008404546665419e-01,1.000000000000000048e-04,6.146283864974975586e+00
3.400000000000000000e+01,5.004226236402192080e-02,4.976232862802006801e-02,5.841725868915193587e+01,8.285212772939003489e-01,1.000000000000000048e-04,6.364041805267333984e+00
3.500000000000000000e+01,4.978662082984783299e-02,5.090338905253002921e-02,5.799762268641486429e+01,8.250215025405971403e-01,1.000000000000000048e-04,5.742927312850952148e+00
3.600000000000000000e+01,5.011391771415522195e-02,5.075143708206301257e-02,5.784435438989994083e+01,8.272451777273607254e-01,1.000000000000000048e-04,5.902093887329101562e+00
3.700000000000000000e+01,4.950301332316933006e-02,4.960997971757572650e-02,5.854364071179873719e+01,8.282685226781197896e-01,1.000000000000000048e-04,5.845013141632080078e+00
3.800000000000000000e+01,4.878372297012548847e-02,5.015933792570128474e-02,5.832294874335054402e+01,8.263850768536906699e-01,1.000000000000000048e-04,7.260273933410644531e+00
3.900000000000000000e+01,4.854550832099562008e-02,4.948047136691347686e-02,5.847565897265870660e+01,8.288072864905495774e-01,1.000000000000000048e-04,6.127228021621704102e+00
4.000000000000000000e+01,4.901215342186460155e-02,5.045614706062192395e-02,5.796128321892052782e+01,8.277317331387681332e-01,1.000000000000000048e-04,6.140874624252319336e+00
