epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,6.668839665686851492e-02,6.479624688775095787e-02,5.271358582003032467e+01,7.733196773890286257e-01,1.000000000000000048e-04,1.128947973251342773e+01
2.000000000000000000e+00,4.886399241660138726e-02,6.485211426139476931e-02,5.291075803287065327e+01,7.698753801280397990e-01,1.000000000000000048e-04,1.087177515029907227e+01
3.000000000000000000e+00,4.672657803298267687e-02,6.020165968630181857e-02,5.519505281304594035e+01,7.908196231097197604e-01,1.000000000000000048e-04,1.046142220497131348e+01
4.000000000000000000e+00,4.554776337384442569e-02,5.660466456682837488e-02,5.649075674890872989e+01,8.023324829421396576e-01,1.000000000000000048e-04,1.043980717658996582e+01
5.000000000000000000e+00,4.434539699297156828e-02,5.669858707255454738e-02,5.620223591675111408e+01,8.035249431428296285e-01,1.000000000000000048e-04,1.007229304313659668e+01
6.000000000000000000e+00,4.358152014501048138e-02,5.594352855529617641e-02,5.620312117571806709e+01,8.070399028614823056e-01,1.000000000000000048e-04,9.803825616836547852e+00
7.000000000000000000e+00,4.301661354817932353e-02,5.552788441953946524e-02,5.583053622413520145e+01,8.098835397133720138e-01,1.000000000000000048e-04,1.104868459701538086e+01
8.000000000000000000e+00,4.287415350818928050e-02,5.394998773108774376e-02,5.708130078339696212e+01,8.139200579506962185e-01,1.000000000000000048e-04,1.071434545516967773e+01
9.000000000000000000e+00,4.227320084928363336e-02,5.500244184504800987e-02,5.684063741789391599e+01,8.111967463261745559e-01,1.000000000000000048e-04,1.010579848289489746e+01
1.000000000000000000e+01,4.187384625286139778e-02,5.337962189960719639e-02,5.733395870726312182e+01,8.169085311209176581e-01,1.000000000000000048e-04,9.278790259361267090e+01
1.100000000000000000e+01,4.104893425630763704e-02,5.331387662857621501e-02,5.727667476903253885e+01,8.167129048171910544e-01,1.000000000000000048e-04,9.973112821578979492e+00
1.200000000000000000e+01,4.140915637424278511e-02,5.291064682617858256e-02,5.696656068964819042e+01,8.194496849756250922e-01,1.000000000000000048e-04,9.966722726821899414e+00
1.300000000000000000e+01,4.083206958662936870e-02,5.446716149024028591e-02,5.634944633982289730e+01,8.138100854948954188e-01,1.000000000000000048e-04,9.913987398147583008e+00
1.400000000000000000e+01,4.045255855874436979e-02,5.254200902116957367e-02,5.749027239737198869e+01,8.210237227241263813e-01,1.000000000000000048e-04,9.794642925262451172e+00
1.500000000000000000e+01,4.011786207633297879e-02,5.334298436216373257e-02,5.688912334154598938e+01,8.186161257777254674e-01,1.000000000000000048e-04,1.104393634796142578e+02
1.600000000000000000e+01,4.015513363256974222e-02,5.179823897591787074e-02,5.767889838482267351e+01,8.231070290167039616e-01,1.000000000000000048e-04,9.890401601791381836e+00
1.700000000000000000e+01,3.972307852213821655e-02,5.320833005647563480e-02,5.675660000134951844e+01,8.180164800493903154e-01,1.000000000000000048e-04,9.973451852798461914e+00
1.800000000000000000e+01,4.010838865161799743e-02,5.489679440930859966e-02,5.635427779767980638e+01,8.161530784601206401e-01,1.000000000000000048e-04,1.097877955436706543e+01
1.900000000000000000e+01,3.964040439886032385e-02,5.129321784380093396e-02,5.779028400823698775e+01,8.246971799634645883e-01,1.000000000000000048e-04,5.120097470283508301e+01
2.000000000000000000e+01,3.922319225392630754e-02,5.136476329822636105e-02,5.817933830184553301e+01,8.223631131462182386e-01,1.000000000000000048e-04,1.018680977821350098e+01
2.100000000000000000e+01,3.956830062791475561e-02,5.099113197557290922e-02,5.797276793053401889e+01,8.255907207934649605e-01,1.000000000000000048e-04,9.662997484207153320e+00
2.200000000000000000e+01,3.895222824468887179e-02,5.498641055432995639e-02,5.642680102976123635e+01,8.166640648561384053e-01,1.000000000000000048e-04,1.027584195137023926e+01
2.300000000000000000e+01,3.851587746487614844e-02,5.150046319368496717e-02,5.770270354304481231e+01,8.235067700486130571e-01,1.000000000000000048e-04,9.688129186630249023e+00
2.400000000000000000e+01,3.852183573170041286e-02,5.039729769505447987e-02,5.820284203189102357e+01,8.268333131532803471e-01,1.000000000000000048e-04,9.956491708755493164e+00
2.500000000000000000e+01,3.872665748352382281e-02,5.272430555904331073e-02,5.707797987856457667e+01,8.234650082562409157e-01,1.000000000000000048e-04,9.897846937179565430e+00
2.600000000000000000e+01,3.874100953769341049e-02,5.141495624978338619e-02,5.749339757372985815e+01,8.261166518628908495e-01,1.000000000000000048e-04,1.076565146446228027e+01
2.700000000000000000e+01,3.820573695517027329e-02,4.998074649791022644e-02,5.833746150031161903e+01,8.282847216031036242e-01,1.000000000000000048e-04,1.001458024978637695e+01
2.800000000000000000e+01,3.820501585689135143e-02,5.005858937774471107e-02,5.821613563844307038e+01,8.280490468682444316e-01,1.000000000000000048e-04,9.986491918563842773e+00
2.900000000000000000e+01,3.833246671375488412e-02,5.101993328063332556e-02,5.782857715664197684e+01,8.269131036881833818e-01,1.000000000000000048e-04,9.887931823730468750e+00
3.000000000000000000e+01,3.702023100081107410e-02,4.922014866117856158e-02,5.844927866375027037e+01,8.312315596485347902e-01,1.000000000000000048e-04,1.072240138053894043e+01
3.100000000000000000e+01,3.782615974499534822e-02,4.986987775893666347e-02,5.803560860791996845e+01,8.284163674038685921e-01,1.000000000000000048e-04,9.930779218673706055e+00
3.200000000000000000e+01,3.746161217067126709e-02,5.060088162745662865e-02,5.803437630734850927e+01,8.289100389155017456e-01,1.000000000000000048e-04,9.798094511032104492e+00
3.300000000000000000e+01,3.757482571843226427e-02,4.875606264750562135e-02,5.874551811409955349e+01,8.328508321914871448e-01,1.000000000000000048e-04,9.791288614273071289e+00
3.400000000000000000e+01,3.726134103898031541e-02,4.965087619783291328e-02,5.861630490557033113e+01,8.277296310924470157e-01,1.000000000000000048e-04,1.073158645629882812e+01
3.500000000000000000e+01,3.686180099737729893e-02,4.952786600769464725e-02,5.828596736198693407e+01,8.320125251490614326e-01,1.000000000000000048e-04,9.795243501663208008e+00
3.600000000000000000e+01,3.636563570073059887e-02,4.910905410222072415e-02,5.774499331527020018e+01,8.321732674386179696e-01,1.000000000000000048e-04,1.001304841041564941e+01
3.700000000000000000e+01,3.681375025048897603e-02,5.288291185270601463e-02,5.735243942989176702e+01,8.231009483303247665e-01,1.000000000000000048e-04,1.041911149024963379e+01
3.800000000000000000e+01,3.693665509693178778e-02,5.016309953290014334e-02,5.822237492086899380e+01,8.295673562747628571e-01,1.000000000000000048e-04,1.126604318618774414e+01
3.900000000000000000e+01,3.637874959551663095e-02,4.825957767178664509e-02,5.902088553462196074e+01,8.309413618137889701e-01,1.000000000000000048e-04,3.001982903480529785e+01
4.000000000000000000e+01,3.639461812998751045e-02,4.926899491093266609e-02,5.825779174919703252e+01,8.308749745879557835e-01,1.000000000000000048e-04,1.006519603729248047e+01
