epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.391297874075395069e-01,7.654796474996734823e-02,2.511080377242144479e+01,6.267354534879995276e-01
2.000000000000000000e+00,8.467002631521519662e-02,6.991508887971148445e-02,2.663734166762408151e+01,5.800856628685814309e-01
3.000000000000000000e+00,7.222328682280616807e-02,6.373216463800739084e-02,2.769218624339384149e+01,6.056218963661540444e-01
4.000000000000000000e+00,6.810649516589847852e-02,5.813337917275288730e-02,2.827895663766300061e+01,6.042111063279441696e-01
5.000000000000000000e+00,6.902859787698145677e-02,5.682277909534819149e-02,2.851831946653478411e+01,6.199510365046841942e-01
6.000000000000000000e+00,6.141288077205787205e-02,5.463068702203385807e-02,2.930302889206830130e+01,6.523104627758590235e-01
7.000000000000000000e+00,5.946611091034648133e-02,6.086831715177087182e-02,2.879006963617661441e+01,6.204314446725609500e-01
8.000000000000000000e+00,5.790024223151030158e-02,5.119698067360064359e-02,2.948932563557344366e+01,6.828663336598062017e-01
9.000000000000000000e+00,5.762482252845793629e-02,4.987943610724281107e-02,2.984444337732651675e+01,6.610276201918937611e-01
1.000000000000000000e+01,5.506650804553502726e-02,4.989367898772744531e-02,2.992606465956744088e+01,6.777975972660509330e-01
1.100000000000000000e+01,5.464593433763510061e-02,4.592333547770977020e-02,3.074543588301714792e+01,6.822618650002947316e-01
1.200000000000000000e+01,5.371748934281461024e-02,4.913974016466561567e-02,2.997837986665613386e+01,6.730007966404356612e-01
1.300000000000000000e+01,5.232951507248260331e-02,4.625267338226823205e-02,3.093273454553940738e+01,6.726614041215843720e-01
1.400000000000000000e+01,5.195174920430153942e-02,4.546572837759466773e-02,3.097501042309929176e+01,6.822358509814864247e-01
1.500000000000000000e+01,4.996522037703313851e-02,4.596003112109268290e-02,3.071428394317626953e+01,6.962920962168479555e-01
1.600000000000000000e+01,5.147441899702872442e-02,4.496124036171857130e-02,3.144429790272432257e+01,6.872156627939288720e-01
1.700000000000000000e+01,4.987040302359763144e-02,4.204789340934332598e-02,3.191096109502455747e+01,6.936645753698799099e-01
1.800000000000000000e+01,4.915987097738701295e-02,4.262166941428885414e-02,3.155880333395565174e+01,6.840054898963631169e-01
1.900000000000000000e+01,4.972258134296646953e-02,4.194431368480710381e-02,3.165686820535098889e+01,7.016850861002439377e-01
2.000000000000000000e+01,4.848362956150078368e-02,4.482773231232867195e-02,3.110242063858929740e+01,6.862866628004844483e-01
2.100000000000000000e+01,4.843395805837195922e-02,4.364574349978390944e-02,3.158329559774959705e+01,6.843332455349397936e-01
2.200000000000000000e+01,4.709639255371358968e-02,4.201218211913809730e-02,3.149334138982436215e+01,7.060460464977854622e-01
2.300000000000000000e+01,4.668297264495013810e-02,4.045531000284587758e-02,3.202456951141357422e+01,6.860586603206892953e-01
2.400000000000000000e+01,4.755596487702411224e-02,4.129856550956473304e-02,3.184721245485193464e+01,7.115049397661333819e-01
