epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.048674920866312088e-01,7.202913269400595953e-02,2.481399391174316449e+01,7.319037498876929115e-01
2.000000000000000000e+00,7.082158782758003757e-02,6.421061113476753124e-02,2.626746665954589943e+01,7.117741298025029861e-01
3.000000000000000000e+00,6.655570889307448057e-02,6.236276298761368048e-02,2.693298255920410256e+01,7.130056137039705311e-01
4.000000000000000000e+00,6.406334846103486913e-02,6.121510624885559415e-02,2.702552810668945327e+01,7.130370476785147238e-01
5.000000000000000000e+00,6.395543440560663706e-02,5.901295810937881581e-02,2.729038917541504006e+01,7.289750225351070423e-01
6.000000000000000000e+00,6.168335811658338941e-02,5.869103208184242582e-02,2.748064109802245980e+01,6.931633825225905765e-01
7.000000000000000000e+00,6.104173418904138698e-02,5.726272657513618164e-02,2.768414367675781307e+01,7.019461371127867499e-01
8.000000000000000000e+00,6.091534066175626622e-02,5.811179399490356418e-02,2.748519508361816577e+01,6.788449147358105451e-01
9.000000000000000000e+00,5.975485001960076370e-02,5.732033506035804499e-02,2.757403724670410128e+01,6.855858743151401757e-01
1.000000000000000000e+01,5.916048192288264618e-02,5.604853138327598600e-02,2.787929512023925938e+01,6.810273966332860418e-01
1.100000000000000000e+01,5.904673498647271951e-02,5.519708767533302446e-02,2.793592399597168097e+01,6.754593223894029830e-01
1.200000000000000000e+01,5.837615588602940858e-02,5.592266604304313438e-02,2.781681510925292855e+01,6.956644934982018080e-01
1.300000000000000000e+01,5.734857658216775678e-02,5.486115470528602628e-02,2.807918022155761761e+01,6.701779296519085882e-01
1.400000000000000000e+01,5.688383347116225675e-02,5.802185252308845326e-02,2.709760986328124943e+01,7.428407711327157381e-01
1.500000000000000000e+01,5.643585709131453826e-02,5.526771292090416204e-02,2.785967964172363409e+01,7.049512670927879920e-01
1.600000000000000000e+01,5.645493667357224382e-02,5.584028705954551669e-02,2.763432044982910085e+01,7.273667120841036393e-01
1.700000000000000000e+01,5.610757918397257099e-02,5.849900022149086276e-02,2.700133850097656207e+01,7.219296330313498267e-01
1.800000000000000000e+01,5.530385746936167246e-02,5.392739817500114691e-02,2.812241264343261804e+01,6.707327513363339211e-01
1.900000000000000000e+01,5.514992585728976243e-02,5.382285818457603621e-02,2.809125457763671818e+01,6.859640698813308513e-01
2.000000000000000000e+01,5.469413745132359339e-02,5.515208363533020269e-02,2.790655250549316335e+01,6.839749467999191035e-01
2.100000000000000000e+01,5.461727821629894924e-02,5.338179528713226513e-02,2.804697532653808523e+01,6.880662004864694925e-01
2.200000000000000000e+01,5.422477313309661401e-02,5.395293921232223455e-02,2.794695457458496080e+01,7.164350572585870269e-01
2.300000000000000000e+01,5.426113652296302853e-02,5.413345694541930875e-02,2.793109680175781406e+01,7.159458957263886703e-01
2.400000000000000000e+01,5.427215075936199506e-02,5.279002025723457392e-02,2.823883598327636690e+01,6.881002876489767939e-01
2.500000000000000000e+01,5.432963605262031148e-02,5.896892756223678922e-02,2.705823196411132869e+01,6.620683586942183174e-01
2.600000000000000000e+01,5.734274293149798502e-02,5.479883313179016030e-02,2.795802169799804560e+01,7.183619075907198281e-01
2.700000000000000000e+01,5.481083247779814510e-02,5.455739423632621765e-02,2.793681579589843622e+01,6.959540281133193007e-01
2.800000000000000000e+01,5.351394140892777596e-02,5.296846881508827237e-02,2.804998992919921719e+01,7.357692461618939861e-01
2.900000000000000000e+01,5.387038309588905449e-02,5.385795667767524775e-02,2.797126228332519560e+01,6.988410425972373385e-01
3.000000000000000000e+01,5.268342842247860508e-02,5.209925904870033042e-02,2.832850967407226506e+01,6.964165336982048871e-01
3.100000000000000000e+01,5.216335649948474623e-02,5.248855262994766430e-02,2.825185577392578296e+01,7.019191034337033397e-01
3.200000000000000000e+01,5.245980989834493624e-02,5.197937637567520003e-02,2.832369087219238324e+01,7.026009592115999292e-01
3.300000000000000000e+01,5.207467858086933105e-02,5.324145793914794589e-02,2.787505699157715000e+01,7.331428938144533003e-01
3.400000000000000000e+01,5.216650914185303606e-02,5.083161488175392401e-02,2.853495544433593878e+01,6.985204965878231143e-01
3.500000000000000000e+01,5.297476124049218388e-02,5.292356237769126753e-02,2.788057479858398580e+01,6.608346842007891686e-01
3.600000000000000000e+01,5.235196502248117695e-02,5.105282187461852861e-02,2.838109657287597543e+01,7.059171615760392315e-01
3.700000000000000000e+01,5.136185207150199133e-02,5.014701172709465360e-02,2.856818504333496023e+01,6.885877244076954451e-01
3.800000000000000000e+01,5.082475905083427836e-02,5.249794110655784524e-02,2.847885650634765753e+01,6.920276152982717255e-01
3.900000000000000000e+01,5.103467109282154579e-02,5.100229814648628290e-02,2.834215774536132670e+01,7.194172238719530599e-01
4.000000000000000000e+01,5.110649238071166001e-02,5.129575297236442510e-02,2.841977050781250114e+01,7.140782891402432941e-01
4.100000000000000000e+01,5.066573422802381210e-02,5.156137347221374789e-02,2.811769165039062557e+01,7.412115699371645272e-01
