epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,8.102935125645051306e-02,7.161280333995818925e-02,2.719071838378906136e+01,5.688247500126413225e-01
2.000000000000000000e+00,4.686880302557974720e-02,6.221001461148262246e-02,2.805555667877197124e+01,6.165193250050801099e-01
3.000000000000000000e+00,4.196159009641580590e-02,5.148456357419491092e-02,3.001471450805664176e+01,6.707239356580360079e-01
4.000000000000000000e+00,3.730501708241156650e-02,5.112287342548370306e-02,3.062925537109374829e+01,6.778927785813065876e-01
5.000000000000000000e+00,3.494568671954512151e-02,4.528334878385067291e-02,3.164456165313720604e+01,6.837298056320413320e-01
6.000000000000000000e+00,3.456452431410183407e-02,4.412843465805053877e-02,3.175817993164062614e+01,6.897902261593629181e-01
7.000000000000000000e+00,3.141866415478442726e-02,4.249407075345516122e-02,3.179183452606201143e+01,6.916344987911460240e-01
8.000000000000000000e+00,3.056499772846944102e-02,4.288729220628738348e-02,3.216462017059325973e+01,6.865714233482697049e-01
9.000000000000000000e+00,3.028222427937228914e-02,4.031917765736579840e-02,3.237161937713622706e+01,7.185559123313470797e-01
1.000000000000000000e+01,2.895995231015692159e-02,3.929091818630695010e-02,3.268861598968506144e+01,6.918369513164978057e-01
1.100000000000000000e+01,2.936593223163865701e-02,4.136772148311138042e-02,3.161450786590576101e+01,6.726664592523566855e-01
1.200000000000000000e+01,2.886171727882000729e-02,3.826338961720466419e-02,3.281746456146240121e+01,7.190985306441715075e-01
1.300000000000000000e+01,2.771903379387203117e-02,3.896876797080039978e-02,3.290497768402099865e+01,7.031878448549200300e-01
1.400000000000000000e+01,2.737770344939374073e-02,4.358243115246295679e-02,3.229633941650390483e+01,6.923862879404192316e-01
1.500000000000000000e+01,2.796506291492976276e-02,3.764585085213184579e-02,3.301239864349365405e+01,7.201090251247548313e-01
1.600000000000000000e+01,2.713472861413357071e-02,3.726868748664855652e-02,3.319953441619873047e+01,7.119911415891773121e-01
1.700000000000000000e+01,2.714291533815517410e-02,4.037918098270892875e-02,3.176614017486572195e+01,7.362847695410373872e-01
1.800000000000000000e+01,2.637118266688452672e-02,4.099973872303962902e-02,3.261795364379882756e+01,6.963752921454637868e-01
1.900000000000000000e+01,2.704244472638324404e-02,3.711668264120817490e-02,3.304978511810302422e+01,7.259331493221843346e-01
2.000000000000000000e+01,2.683427744380240468e-02,3.886113122105598616e-02,3.241983512878417883e+01,7.027648765169758338e-01
