epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.457855224977304964e-01,7.721395626225892317e-02,2.496328746571260382e+01,5.326596475211868853e-01
2.000000000000000000e+00,8.612697852062589643e-02,6.880373441997696127e-02,2.617522177976720599e+01,6.414017340838026326e-01
3.000000000000000000e+00,7.717299229108992575e-02,6.768128199174124060e-02,2.675708910998176293e+01,6.490323529248021028e-01
4.000000000000000000e+00,7.113694843410710289e-02,5.906138536246383769e-02,2.778546630634981085e+01,6.084435080597853096e-01
5.000000000000000000e+00,6.544082324354001667e-02,5.688517957049257778e-02,2.829949799705954305e+01,6.301845280104918512e-01
6.000000000000000000e+00,6.158801736195146370e-02,6.036358480067813975e-02,2.702218066944795538e+01,5.114559476668161242e-01
7.000000000000000000e+00,5.885227376388178777e-02,5.313099361956119537e-02,2.949119775435503854e+01,6.416365016715152025e-01
8.000000000000000000e+00,5.812910923527346563e-02,4.680414508809061652e-02,3.061310442756203898e+01,6.535867554523342449e-01
9.000000000000000000e+00,5.457671635128833604e-02,4.672080267439870233e-02,3.043691309760598429e+01,6.208775225357889838e-01
1.000000000000000000e+01,5.359810071043026591e-02,4.843039996922016144e-02,3.021720156950109271e+01,6.805364192808044388e-01
1.100000000000000000e+01,5.320020208572164011e-02,4.837570350398035651e-02,3.064796688977409644e+01,6.840998715350928849e-01
1.200000000000000000e+01,5.224695532686180616e-02,4.662679081015726895e-02,3.052989555807674549e+01,6.968459355722439463e-01
1.300000000000000000e+01,5.183263746216709017e-02,4.232360521221861793e-02,3.171488335553337379e+01,6.954691896274880492e-01
1.400000000000000000e+01,5.038761821242026401e-02,4.195779759217711097e-02,3.171192017723532430e+01,6.739567435213186242e-01
1.500000000000000000e+01,4.955658560365806126e-02,4.192801915547426927e-02,3.172342939937815842e+01,6.883641357919827453e-01
1.600000000000000000e+01,4.910796984202332044e-02,4.395766874008318753e-02,3.103567168291877465e+01,6.965436912174152173e-01
1.700000000000000000e+01,4.753475967380735301e-02,4.108269255170050871e-02,3.214891394446878081e+01,6.855113058941622040e-01
1.800000000000000000e+01,4.799035994083056950e-02,4.196778553373673587e-02,3.154357298682717570e+01,6.884883328363662347e-01
1.900000000000000000e+01,4.759990858534971642e-02,4.307328493279569126e-02,3.113750996309168073e+01,7.108828352732030620e-01
2.000000000000000000e+01,4.604799330326510287e-02,4.066247865557670593e-02,3.174548547408160104e+01,6.906002326002089742e-01
2.100000000000000000e+01,4.548056028139443874e-02,4.173670183209812062e-02,3.187767511255600894e+01,6.935413553604010684e-01
2.200000000000000000e+01,4.529729156674426604e-02,4.086819093893555993e-02,3.194864974302404192e+01,6.987194953170078326e-01
2.300000000000000000e+01,4.547821498119536399e-02,3.797428046955781539e-02,3.280263457578771380e+01,7.039875234558282679e-01
2.400000000000000000e+01,4.524114856749405361e-02,3.794226959785994280e-02,3.280422322890337483e+01,6.991892719443426607e-01
2.500000000000000000e+01,4.427832240859667229e-02,3.838499558760839064e-02,3.258844111947452404e+01,7.126207374730741950e-01
2.600000000000000000e+01,4.253959099267735910e-02,3.878686007331399316e-02,3.225053080390481597e+01,6.847931767598224306e-01
2.700000000000000000e+01,4.298512260487050152e-02,3.812285282594315983e-02,3.270914520936853620e+01,6.986930589093933719e-01
2.800000000000000000e+01,4.255940627168725704e-02,3.858943612259976841e-02,3.241558753742891241e+01,7.240201711682284769e-01
2.900000000000000000e+01,4.303589343656728100e-02,4.105561533394981588e-02,3.162836080438950503e+01,7.184626709450150361e-01
3.000000000000000000e+01,4.267377001635822009e-02,4.314896738266243981e-02,3.117666833540972604e+01,6.766855494791801373e-01
3.100000000000000000e+01,4.018699480105697441e-02,3.868645539178567488e-02,3.258703764747171050e+01,6.928958779346962027e-01
3.200000000000000000e+01,4.023456428613927938e-02,3.813815297668471382e-02,3.218677369286032075e+01,7.050360071760234382e-01
3.300000000000000000e+01,4.009227066036359644e-02,3.746643613147385143e-02,3.266314108231488689e+01,7.028361347885037080e-01
3.400000000000000000e+01,4.016595171695506311e-02,3.597797831410870506e-02,3.330864104102639800e+01,7.172931856770158321e-01
3.500000000000000000e+01,3.945755886120928813e-02,3.631703046095721699e-02,3.316039713691262847e+01,7.169473098810882350e-01
3.600000000000000000e+01,3.928234230405018568e-02,3.564012045150294350e-02,3.344723376105813628e+01,7.236346259315048490e-01
3.700000000000000000e+01,3.897033545568033552e-02,3.546457014539662611e-02,3.335831900203929479e+01,7.256198596753401509e-01
3.800000000000000000e+01,3.904147040282870268e-02,3.557798474588814985e-02,3.334648446475758021e+01,7.128083425063480583e-01
3.900000000000000000e+01,3.890268443681207944e-02,3.556648795219028575e-02,3.340708738214829054e+01,7.182074485056508806e-01
4.000000000000000000e+01,3.906543322919327210e-02,3.517889971023097084e-02,3.342364025115966797e+01,7.290032920052527121e-01
4.100000000000000000e+01,3.878251874796402598e-02,3.644023665829616149e-02,3.304102981791776728e+01,7.229646930164190799e-01
4.200000000000000000e+01,3.871392623095968460e-02,3.666434864349225192e-02,3.320403833950267369e+01,7.162800386086887183e-01
4.300000000000000000e+01,3.858468414824686027e-02,3.499002289026975632e-02,3.353209080415613386e+01,7.242444905085128060e-01
4.400000000000000000e+01,3.836252617385284280e-02,3.549167869941276948e-02,3.332607768563663342e+01,7.278941108253047521e-01
4.500000000000000000e+01,3.820774298345232939e-02,3.623193228507742836e-02,3.285370164759018508e+01,7.097542433321244459e-01
4.600000000000000000e+01,3.872294515877226090e-02,3.538789227604866028e-02,3.344815714219037517e+01,7.172654774816648038e-01
4.700000000000000000e+01,3.856871858883051396e-02,3.571337088942527771e-02,3.310400693556841389e+01,7.224519002827911596e-01
4.800000000000000000e+01,3.812066681775046206e-02,3.503324069521006334e-02,3.347210985071518508e+01,7.238697562617592007e-01
4.900000000000000000e+01,3.819839585066577697e-02,3.692314176655867725e-02,3.283544815287870478e+01,7.074231191253903539e-01
5.000000000000000000e+01,3.712431773727322554e-02,3.434153355877189034e-02,3.369396602406221319e+01,7.248216621661506265e-01
5.100000000000000000e+01,3.636057633492681407e-02,3.490962038802750134e-02,3.363311414157642787e+01,7.165716567372024670e-01
5.200000000000000000e+01,3.660226361481128121e-02,3.458306083784384172e-02,3.357801863726447777e+01,7.194431940197324460e-01
5.300000000000000000e+01,3.638265140492607380e-02,3.427076893036856697e-02,3.377590128954719262e+01,7.300345271474775188e-01
5.400000000000000000e+01,3.648040297636647583e-02,3.450107503244105589e-02,3.368996895060819696e+01,7.206415600099249641e-01
5.500000000000000000e+01,3.624234817646167922e-02,3.512265335987595910e-02,3.336472068113439349e+01,7.190189738771410877e-01
5.600000000000000000e+01,3.696799741621002722e-02,3.422831935698494865e-02,3.378409430559943871e+01,7.228824868534015069e-01
5.700000000000000000e+01,3.622924811264247036e-02,3.544600247679387944e-02,3.332621619280646996e+01,7.205388850265677103e-01
5.800000000000000000e+01,3.630710032159163714e-02,3.397278257590882755e-02,3.385497362473432048e+01,7.305457777210645487e-01
5.900000000000000000e+01,3.641372044099333571e-02,3.444473155061988229e-02,3.369093973496381267e+01,7.192482630826007028e-01
6.000000000000000000e+01,3.618274828028163886e-02,3.430857810684863340e-02,3.373917579650878906e+01,7.231740136673100450e-01
