epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,2.106325854857762636e-01,4.817456442576188436e-01,5.154124663426325803e+00,-2.057794559768658452e-03
2.000000000000000000e+00,1.851682052016258295e-01,4.315727834518139350e-01,5.685499227963960678e+00,3.887455177845944732e-03
3.000000000000000000e+00,1.671652197837829590e-01,3.919515197093670356e-01,6.120209547189565669e+00,1.655774948120052742e-02
4.000000000000000000e+00,1.514631172021229932e-01,3.586864677759317166e-01,6.687263708848219856e+00,2.865179881305520565e-02
5.000000000000000000e+00,1.386102517445882143e-01,3.300839204054612508e-01,7.303467530470627800e+00,4.381001786976425338e-02
6.000000000000000000e+00,1.280399034420649229e-01,3.056825903745797879e-01,7.920881124643178950e+00,6.498571746090171797e-02
7.000000000000000000e+00,1.183608134587605804e-01,2.848071685204139336e-01,8.629223823547363281e+00,8.623219221367237064e-02
8.000000000000000000e+00,1.107414687673250880e-01,2.665336200824150459e-01,9.334991675156812718e+00,1.098852457485570006e-01
9.000000000000000000e+00,1.037358981867631258e-01,2.496332228183746338e-01,1.008203469789945217e+01,1.323929961385328646e-01
1.000000000000000000e+01,9.699442908167839328e-02,2.348041018614402120e-01,1.079064398545485304e+01,1.547659646999888783e-01
1.100000000000000000e+01,9.101583013931910382e-02,2.209651573346211317e-01,1.146075021303617092e+01,1.795503456238700668e-01
1.200000000000000000e+01,8.568747217456500198e-02,2.085967980898343621e-01,1.210325380472036549e+01,2.039749984526412485e-01
1.300000000000000000e+01,8.197328249613443363e-02,1.971345704335432658e-01,1.269504371056189918e+01,2.295205185673608039e-01
1.400000000000000000e+01,7.597988918423652371e-02,1.873856118092170064e-01,1.332193191234881979e+01,2.515867117974092126e-01
1.500000000000000000e+01,7.242212047179540091e-02,1.779963362675446858e-01,1.382929046337421042e+01,2.761971968395373622e-01
1.600000000000000000e+01,6.906037976344427121e-02,1.713175968481944200e-01,1.435107267819918064e+01,2.944946099060442579e-01
1.700000000000000000e+01,6.672742068767548163e-02,1.627247654474698602e-01,1.482760906219482422e+01,3.226024736149147865e-01
1.800000000000000000e+01,6.255815972884495868e-02,1.562036230013920668e-01,1.531061025766226003e+01,3.407124939212279324e-01
1.900000000000000000e+01,5.985943178335825787e-02,1.514070183038711548e-01,1.575764927497276879e+01,3.548090277161398687e-01
2.000000000000000000e+01,5.819015329082807136e-02,1.438813759730412367e-01,1.615085330376258099e+01,3.801901932423908392e-01
2.100000000000000000e+01,5.622489377856254578e-02,1.383972431604678921e-01,1.655897169846754835e+01,3.983850013708801208e-01
2.200000000000000000e+01,5.427317122618357387e-02,1.336337488431196818e-01,1.701473470834585200e+01,4.129783756537074857e-01
2.300000000000000000e+01,5.170212363203366412e-02,1.289040549443318251e-01,1.736080580491286085e+01,4.285044851135191291e-01
2.400000000000000000e+01,5.098856662710507526e-02,1.247936424154501706e-01,1.774880247849684523e+01,4.423684639425454757e-01
2.500000000000000000e+01,4.846566257377465242e-02,1.209516485150043813e-01,1.812089964059682856e+01,4.535553602089457126e-01
