epoch,train_loss,val_loss,psnr,ssim
1.000000000000000000e+00,1.680497308572133364e-01,1.510352092981338545e-01,2.190082260131836023e+01,3.429304826904942538e-01
2.000000000000000000e+00,8.694673813879490176e-02,9.389024317264556274e-02,2.503174743652343892e+01,5.105870088041329913e-01
3.000000000000000000e+00,6.252709931383530761e-02,7.909540891647338923e-02,2.581829376220703054e+01,5.696185658837534804e-01
4.000000000000000000e+00,5.580413887898127284e-02,7.270724043250083313e-02,2.633661010742187614e+01,5.855866394034362488e-01
5.000000000000000000e+00,5.356896038477619582e-02,7.024167671799659562e-02,2.656851066589355526e+01,6.149230225302121378e-01
6.000000000000000000e+00,5.166349677989880151e-02,6.699377715587616355e-02,2.699793655395507841e+01,6.082992807228198018e-01
7.000000000000000000e+00,4.829925581191976680e-02,6.473674401640891474e-02,2.741585227966308480e+01,6.227883583528751599e-01
8.000000000000000000e+00,4.645124878734350343e-02,6.179304942488670488e-02,2.783812446594238210e+01,6.267732163803996226e-01
9.000000000000000000e+00,4.514809235309560909e-02,6.164697363972664046e-02,2.813768180847167955e+01,6.332793775851728313e-01
1.000000000000000000e+01,4.320597272987167226e-02,5.744089037179946761e-02,2.874080741882324119e+01,6.256269515217122157e-01
1.100000000000000000e+01,4.171948616082469391e-02,5.466245308518409562e-02,2.948638298034667926e+01,6.382854469438657974e-01
1.200000000000000000e+01,3.980200119937459674e-02,5.345213353633880560e-02,2.990054740905761577e+01,6.404055749401154074e-01
1.300000000000000000e+01,3.859977150956789976e-02,5.403195098042488237e-02,2.966135581970214830e+01,6.498782747336784293e-01
1.400000000000000000e+01,3.753798957914113860e-02,4.961602419614791898e-02,3.051505187988281165e+01,6.448063392644534098e-01
1.500000000000000000e+01,3.615924101322889189e-02,5.030326977372169550e-02,3.079475524902343864e+01,6.467491272525593970e-01
1.600000000000000000e+01,3.643635439996917996e-02,4.946093380451202504e-02,3.072225929260254063e+01,6.469256920483446027e-01
1.700000000000000000e+01,3.505332873513301167e-02,4.678832411766051941e-02,3.119331497192382940e+01,6.631904434903146406e-01
1.800000000000000000e+01,3.394456338137388091e-02,4.603087186813354520e-02,3.141637832641601591e+01,6.610692402127085199e-01
1.900000000000000000e+01,3.356706112002332681e-02,4.651332363486290061e-02,3.123377311706542869e+01,6.691635784828804390e-01
2.000000000000000000e+01,3.335209389527638707e-02,4.541618213057518200e-02,3.155182640075683764e+01,6.629939922774148453e-01
2.100000000000000000e+01,3.255843641236424307e-02,4.468546181917190663e-02,3.150132995605468622e+01,6.805451260604136188e-01
2.200000000000000000e+01,3.223733929917216301e-02,4.461913391947746471e-02,3.155961746215820440e+01,6.776818049607862271e-01
2.300000000000000000e+01,3.214925182983278951e-02,4.567229583859443859e-02,3.153756622314453040e+01,6.683826896183813204e-01
2.400000000000000000e+01,3.297628366077939854e-02,4.515462175011634993e-02,3.130982902526855582e+01,6.635212497184602709e-01
2.500000000000000000e+01,3.165611103177070479e-02,4.398305490612983842e-02,3.180076766967773594e+01,6.696940933753436909e-01
2.600000000000000000e+01,3.124742219224572320e-02,4.305515766143799133e-02,3.190821151733398509e+01,6.820899327812337543e-01
2.700000000000000000e+01,3.083494519814848969e-02,4.289737567305564742e-02,3.200767486572265597e+01,6.745288728572722547e-01
2.800000000000000000e+01,3.058041300003727300e-02,4.334727376699447354e-02,3.192992858886718821e+01,6.835784824953309302e-01
2.900000000000000000e+01,3.097379310056567331e-02,4.446956336498260332e-02,3.198814689636230568e+01,6.747503954522666714e-01
3.000000000000000000e+01,3.037621015682816575e-02,4.192527681589126864e-02,3.223411308288574162e+01,6.803967680568269172e-01
3.100000000000000000e+01,3.031416448454062051e-02,4.183921039104461503e-02,3.227073104858398267e+01,6.833514640625324432e-01
3.200000000000000000e+01,2.981913182884454727e-02,4.149313285946845675e-02,3.223984687805175753e+01,6.953453541488138212e-01
3.300000000000000000e+01,2.956889296571413653e-02,4.134831994771957092e-02,3.233266075134277173e+01,6.870740671359085727e-01
3.400000000000000000e+01,2.950336029753088812e-02,4.120764583349227628e-02,3.230409194946289375e+01,6.832407773048188027e-01
3.500000000000000000e+01,2.939524023483196941e-02,4.073618531227111983e-02,3.243355644226074475e+01,6.898385498737304999e-01
3.600000000000000000e+01,2.906146791453162806e-02,4.091677352786064065e-02,3.240472579956054489e+01,6.825941533522154048e-01
3.700000000000000000e+01,2.914388620605071548e-02,4.222377061843871765e-02,3.203463508605957344e+01,6.823634638282305431e-01
3.800000000000000000e+01,2.921892947827776227e-02,4.053435683250427440e-02,3.244473533630370810e+01,6.918012314239699867e-01
3.900000000000000000e+01,2.866488291571537769e-02,4.045830637216567965e-02,3.246926361083984602e+01,6.997804839550322287e-01
4.000000000000000000e+01,2.873977273702621460e-02,4.136100918054580466e-02,3.230666458129882557e+01,6.920480806295212783e-01
