epoch,train_loss,val_loss,psnr,ssim,lr,epoch_time_s
1.000000000000000000e+00,1.235350103319487608e-01,7.574482745111886517e-02,4.976811455961448161e+01,7.276250223154002716e-01,1.000000000000000048e-04,4.825878620147705078e+00
2.000000000000000000e+00,7.314064427980539185e-02,6.774886948379439666e-02,5.259033075648935807e+01,7.584605514227138467e-01,1.000000000000000048e-04,4.841276645660400391e+00
3.000000000000000000e+00,6.700857331304363451e-02,6.319231513756604079e-02,5.404262947197535283e+01,7.747549035260256067e-01,1.000000000000000048e-04,4.963552951812744141e+00
4.000000000000000000e+00,6.552231103518761646e-02,6.443584126293958048e-02,5.339603997235322197e+01,7.719487521273918906e-01,1.000000000000000048e-04,5.002076625823974609e+00
5.000000000000000000e+00,6.393817976836922712e-02,6.228585586176445948e-02,5.391839271813780954e+01,7.791779598051238320e-01,1.000000000000000048e-04,5.161579132080078125e+00
6.000000000000000000e+00,6.359037949884538410e-02,6.074314362289917613e-02,5.449651603123650290e+01,7.860689429818923379e-01,1.000000000000000048e-04,4.881311893463134766e+00
7.000000000000000000e+00,6.182286709945224168e-02,6.238876337456943089e-02,5.489300860112636116e+01,7.783793464573266485e-01,1.000000000000000048e-04,4.887801408767700195e+00
8.000000000000000000e+00,6.134828095078345700e-02,6.175202801449215101e-02,5.408050281198779885e+01,7.823549629983552745e-01,1.000000000000000048e-04,4.904395818710327148e+00
9.000000000000000000e+00,6.065476142857817443e-02,5.947199827013303214e-02,5.519039314116665196e+01,7.906435903153889999e-01,1.000000000000000048e-04,4.844943284988403320e+00
1.000000000000000000e+01,5.935516227553584018e-02,5.756349790485659756e-02,5.595473251151079808e+01,7.970564700322394502e-01,1.000000000000000048e-04,5.480657100677490234e+00
1.100000000000000000e+01,5.900908815162399929e-02,5.776296728220417509e-02,5.577920968328888307e+01,7.974719636308451598e-01,1.000000000000000048e-04,4.900722026824951172e+00
1.200000000000000000e+01,5.898014939211132512e-02,5.939245849248751818e-02,5.525509724065886275e+01,7.919246955715506520e-01,1.000000000000000048e-04,4.789038181304931641e+00
1.300000000000000000e+01,5.878079709389227164e-02,5.745884081601497495e-02,5.549159280019788554e+01,7.996801150702989025e-01,1.000000000000000048e-04,4.834586620330810547e+00
1.400000000000000000e+01,5.764164512963603632e-02,5.950432989615291740e-02,5.485591736990003398e+01,7.942047478488728496e-01,1.000000000000000048e-04,4.929130315780639648e+00
1.500000000000000000e+01,5.814649420431437093e-02,5.849903121815255153e-02,5.486958060911552337e+01,7.964667715724679242e-01,1.000000000000000048e-04,5.174954891204833984e+00
1.600000000000000000e+01,5.811160692575656483e-02,5.705261131252475915e-02,5.572482202041089039e+01,8.018168221976161858e-01,1.000000000000000048e-04,5.495673179626464844e+00
1.700000000000000000e+01,5.716685100792613661e-02,5.597413469798601104e-02,5.602448222864812521e+01,8.065668112177251103e-01,1.000000000000000048e-04,4.896589279174804688e+00
1.800000000000000000e+01,5.631144839470089702e-02,5.688418296338924873e-02,5.635668429657442147e+01,8.003789294984822167e-01,1.000000000000000048e-04,4.878972530364990234e+00
1.900000000000000000e+01,5.663532906911600967e-02,5.473142566543128668e-02,5.610007664666103722e+01,8.104236770267260193e-01,1.000000000000000048e-04,4.864551067352294922e+00
2.000000000000000000e+01,5.596377548186409062e-02,5.646739368462682512e-02,5.636922728955445905e+01,8.024731040462662612e-01,1.000000000000000048e-04,5.265053272247314453e+00
2.100000000000000000e+01,5.514378825782626642e-02,5.421024343775744658e-02,5.686690028588376578e+01,8.121454259414381260e-01,1.000000000000000048e-04,4.901574850082397461e+00
2.200000000000000000e+01,5.438870534622412128e-02,5.436770314697045303e-02,5.660805082081550665e+01,8.119607291699176832e-01,1.000000000000000048e-04,4.974168777465820312e+00
2.300000000000000000e+01,5.460779989121016670e-02,5.673817893368515025e-02,5.579376613674451590e+01,8.024138358136915228e-01,1.000000000000000048e-04,4.991385459899902344e+00
2.400000000000000000e+01,5.469204649283241487e-02,5.333223306204206565e-02,5.705988107614182070e+01,8.145593934549728576e-01,1.000000000000000048e-04,4.895735263824462891e+00
2.500000000000000000e+01,5.423124506686721052e-02,5.443198061618373385e-02,5.650240289506001545e+01,8.129285198059545969e-01,1.000000000000000048e-04,4.869016885757446289e+00
2.600000000000000000e+01,5.292360780172945811e-02,5.416186101472557357e-02,5.639118368062541720e+01,8.146504558124105788e-01,1.000000000000000048e-04,6.254266500473022461e+00
2.700000000000000000e+01,5.330092596983247721e-02,5.486987542417181424e-02,5.642450317306135332e+01,8.099024835798097621e-01,1.000000000000000048e-04,4.874470233917236328e+00
2.800000000000000000e+01,5.342452878942224870e-02,5.247891102753692028e-02,5.701254886838059832e+01,8.183325797729619211e-01,1.000000000000000048e-04,4.913102865219116211e+00
2.900000000000000000e+01,5.327244640499322753e-02,5.293019220757125276e-02,5.708039613464968909e+01,8.170250260547381460e-01,1.000000000000000048e-04,4.943798780441284180e+00
3.000000000000000000e+01,5.263326034516494639e-02,5.186266822731075421e-02,5.743407751687207963e+01,8.202371728661409511e-01,1.000000000000000048e-04,4.830600500106811523e+00
3.100000000000000000e+01,5.540694380590629325e-02,5.367895223237761221e-02,5.656439433265570926e+01,8.152786091519944600e-01,1.000000000000000048e-04,4.854801893234252930e+00
3.200000000000000000e+01,5.342576382461579343e-02,5.284253754957237564e-02,5.708691057368139354e+01,8.166769241749516350e-01,1.000000000000000048e-04,4.932940244674682617e+00
3.300000000000000000e+01,5.285968963068288923e-02,5.555047278278436862e-02,5.578405074498162008e+01,8.116241270238998551e-01,1.000000000000000048e-04,5.211220264434814453e+00
3.400000000000000000e+01,5.287379344957827965e-02,5.271927046416392815e-02,5.690916083446099805e+01,8.164932405377928193e-01,1.000000000000000048e-04,4.842132329940795898e+00
3.500000000000000000e+01,5.261967642824304237e-02,5.375065377459454369e-02,5.659738959499340183e+01,8.178184043364656874e-01,1.000000000000000048e-04,4.822777509689331055e+00
